,Unnamed: 0.1,Unnamed: 0,league_team1,season,window,team1,country_team1,dir,player_id,player_name,player_age,player_nation,player_pos,team2,country_team2,transfer_value,market_value,is_free,is_loan,is_loan_end,is_retired,transfer_id,league_team2
0,2780,2780,ENG1,2010,s,Manchester City,England,left,34838,Stephen Ireland,23,Ireland,midfielder,Aston Villa,England,9700000.0,13000000.0,False,False,False,False,468975,ENG1
1,2781,2781,ENG2,2010,s,Aston Villa Reserves,England,left,61561,Barry Bannan,20,Scotland,midfielder,Aston Villa,England,NF,NF,False,False,False,False,3394923,ENG1
2,2782,2782,ENG2,2010,s,Aston Villa Reserves,England,left,61572,Chris Herd,21,Australia,midfielder,Aston Villa,England,NF,NF,False,False,False,False,3668068,ENG1
3,2783,2783,ENG2,2010,s,Aston Villa U18,England,left,96737,Arsenio Halfhuid,18,Netherlands,defender,Aston Villa,England,0 €,NF,False,False,False,False,517044,ENG1
4,2784,2784,ENG2,2010,s,Aston Villa Reserves,England,left,98240,Ciaran Clark,20,Ireland,defender,Aston Villa,England,NF,NF,False,False,False,False,492653,ENG1
5,2785,2785,ENG2,2010,s,Burnley FC,England,left,62642,Nathan Delfouneso,20,England,striker,Aston Villa,England,0.0,3500000.0,False,True,True,False,570539,ENG1
6,2786,2786,ENG2,2010,s,Leeds United,England,left,61575,Eric Lichaj,22,United States,defender,Aston Villa,England,0.0,1000000.0,False,True,True,False,542101,ENG1
7,2787,2787,ENG1,2010,s,Newcastle United,England,left,34838,Stephen Ireland,24,Ireland,midfielder,Aston Villa,England,0.0,13000000.0,False,True,True,False,533956,ENG1
8,2788,2788,ENG2,2010,s,Portsmouth FC,England,left,61573,Jonathan Hogg,22,England,midfielder,Aston Villa,England,0.0,-,False,True,True,False,531761,ENG1
9,2789,2789,ENG2,2010,s,Hull City,England,left,39471,Brad Guzan,26,United States,goalkeeper,Aston Villa,England,0.0,1000000.0,False,True,True,False,531745,ENG1
10,2790,2790,ENG1,2010,s,Stoke City,England,left,3570,John Carew,31,Norway,striker,Aston Villa,England,0.0,10000000.0,False,True,True,False,528917,ENG1
11,2791,2791,ENG2,2010,s,Sheffield United,England,left,61576,Shane Lowry,21,Australia,defender,Aston Villa,England,0.0,-,False,True,True,False,524127,ENG1
12,2792,2792,ENG1,2010,s,Aston Villa,England,left,3333,James Milner,24,England,midfielder,Manchester City,England,22000000.0,20000000.0,False,False,False,False,468976,ENG1
13,2793,2793,ENG1,2010,s,Aston Villa,England,left,13426,Nicky Shorey,29,England,defender,West Bromwich Albion,England,1800000.0,4000000.0,False,False,False,False,464585,ENG1
14,2794,2794,ENG1,2010,s,Aston Villa,England,left,4338,Wilfred Bouma,32,Netherlands,defender,PSV Eindhoven,Netherlands,0.0,3000000.0,True,False,False,False,420560,NET1
15,2795,2795,ENG1,2010,s,Aston Villa,England,left,61563,David Bevan,21,Ireland,goalkeeper,Walsall FC,England,0.0,-,True,False,False,False,449427,ENG2
16,2796,2796,ENG1,2010,s,Aston Villa,England,left,54130,Stephen O'Halloran,22,Ireland,defender,Coventry City,England,0.0,300000.0,True,False,False,False,436053,ENG2
17,2797,2797,ENG1,2010,s,Aston Villa,England,left,10011,Marlon Harewood,30,England,striker,Blackpool FC,England,0.0,2200000.0,True,False,False,False,420773,ENG1
18,2798,2798,ENG1,2010,s,Aston Villa,England,left,18227,Curtis Davies,25,England,defender,Leicester City,England,0 €,4500000.0,False,True,False,False,490748,ENG2
19,2799,2799,ENG1,2010,s,Aston Villa,England,left,95424,Kyle Walker,21,England,defender,Tottenham Hotspur,England,0.0,NF,False,True,True,False,519845,ENG1
20,2800,2800,ENG2,2010,s,Leicester City,England,left,37896,DJ Campbell,28,England,striker,Blackpool FC,England,1500000.0,1500000.0,False,False,False,False,476034,ENG1
