league,team,level
IT1,Juventus FC,TOP
IT1,FC Inter,TOP
IT1,AS Roma,TOP
IT1,AC Milan,TOP
IT1,SSC Napoli,TOP
IT1,SS Lazio,TOP
IT1,UC Sampdoria,TOP
IT1,Genoa CFC,MEDIUM
IT1,Cagliari Calcio,MEDIUM
IT1,Torino FC,MEDIUM
IT1,Bologna FC 1909,MEDIUM
IT1,Chievo Verona,MEDIUM
IT1,Palermo,MEDIUM
IT1,Parma,MEDIUM
IT1,Delfino Pescara 1936,LOW
IT1,Novara Calcio 1908,LOW
IT1,Salernitana,LOW
IT1,Ascoli Calcio 1898,LOW
IT1,Venezia,LOW
IT1,ACR Messina,LOW
