,team1,league_team1,season
165,ASD Team Altamura,ITA4,6
166,Sangiovannese 1927,ITA4,12
167,US Grosseto 1912,ITA3,12
168,US Gavorrano,ITA4,12
169,Treviso FBC 1993,ITA2,12
170,US Avellino,ITA2,12
171,Trapani Primavera,ITAJ,12
172,SPAL 2013,ITA3,12
173,Sicula Leonzio,ITA3,12
174,Vigor Lamezia Calcio,ITA4,12
175,SPAL,ITA2,12
176,San Donato - Tavarnelle,ITA4,12
177,Reggina 1914,ITA2,12
178,SSD Chieti Calcio,ITA4,12
179,US Savoia 1908,ITA4,12
180,US Ancona,ITA3,12
181,SS Turris Calcio,ITA3,12
182,US Sambenedettese,ITA3,12
183,SSD Ischia Calcio,ITA3,12
184,US Poggibonsi,ITA4,12
185,US Vibonese,ITA3,12
186,Pro Sesto 1913,ITA3,12
187,Pro Patria Gallaratese GB,ITA3,12
188,US Viterbese 1908,ITA3,12
189,US Pergolettese 1932,ITA3,12
190,SS Maceratese,ITA3,12
191,Polisportiva Nuova Campobasso Calcio,ITA4,12
192,Perugia Primavera,ITAJ,12
193,Unione Sportiva Siracusa,ITA3,12
194,Salernitana Calcio 1919,ITA2,12
195,Salernitana Primavera,ITAJ,12
196,SC Ligorna 1922,ITA4,12
197,AC Ancona,ITA2,12
198,Carpi Primavera,ITAJ,12
199,AC Monza,ITA2,12
200,Igea 1946,ITA4,12
201,Bari Primavera,ITAJ,12
202,Gallipoli Calcio,ITA3,12
203,AC Montichiari,ITA4,12
204,AS Avellino 1912,ITA3,12
205,Arzachena Costa Smeralda,ITA4,12
206,Forlì FC,ITA3,12
207,FC Legnago Salus,ITA3,12
208,AS Martina Franca,ITA3,12
209,Arzanese Calcio,ITA4,12
210,Nocerina Calcio,ITA4,12
211,Celano FC Olimpia,ITA4,12
212,AC Carpenedolo,ITA4,12
213,Chievo Primavera,ITAJ,12
214,Como 1907,ITA3,12
215,Mantova 1911,ITA3,12
216,Correggese Calcio 1948,ITA4,12
217,Lecce Primavera,ITAJ,12
218,Brescia Primavera,ITAJ,12
219,Latina Juniores,ITAJ,12
220,Cosenza Calcio 1914,ITA3,12
221,LR Vicenza,ITA2,12
222,AS Melfi,ITA3,18
223,Siracusa Calcio,ITA3,18
224,US Avellino 1912,ITA2,18
225,SPAL 1907,ITA3,18
226,Cesena FC,ITA3,18
227,Savona FBC,ITA3,18
228,San Marino,ITA3,18
229,SS Akragas Città dei Templi,ITA3,18
230,SS Arezzo,ITA3,18
231,ASG Nocerina,ITA3,18
232,US Foggia,ITA3,18
233,Cagliari Primavera,ITAJ,18
234,Pescara Primavera,ITAJ,18
235,L'Aquila Calcio,ITA3,18
236,AC Mantova,ITA3,18
237,Urbs Reggina 1914,ITA3,18
238,AC Tuttocuoio,ITA3,18
239,AC Cuneo 1905,ITA3,18
240,Perugia Calcio,ITA3,18
241,Modena FC 2018,ITA3,18
242,Ravenna Calcio,ITA3,18
243,AC Arezzo,ITA3,18
244,Fidelis Andria,ITA3,18
245,Calcio Portogruaro-Summaga,ITA3,18
246,Rimini FC,ITA3,18
247,Rende Calcio 1968,ITA3,18
248,US Pergocrema 1932,ITA3,18
249,AS Bisceglie 1913,ITA3,18
250,Foggia Calcio,ITA3,18
251,Lupa Roma FC,ITA3,18
252,AC Bellaria Igea Marina,ITA4,24
253,Calcio Lecco 1912,ITA3,24
254,Santarcangelo Calcio,ITA4,24
255,Sorrento Calcio,ITA3,24
256,Varese Primavera,ITAJ,24
257,Bassano Virtus 55 ST,ITA3,24
258,Trapani Calcio,ITA2,24
259,ACR Messina,ITA3,24
260,Bari,ITA2,24
261,AS Andria BAT,ITA3,24
262,US Arezzo,ITA3,24
263,AS Viterbese Castrense,ITA3,24
264,US Latina Calcio,ITA2,24
265,AS Giana Erminio,ITA3,24
266,Vis Pesaro dal 1898,ITA3,24
267,SPAL Primavera,ITAJ,24
268,Fermana FC,ITA3,24
269,Ravenna FC,ITA3,24
270,SS Milazzo,ITA4,24
271,Potenza Calcio,ITA3,24
272,Imolese Calcio 1919,ITA3,24
273,SS Virtus Lanciano,ITA2,24
274,Cosenza Calcio,ITA2,24
275,FC Esperia Viareggio,ITA3,24
276,Juventus U23,ITA3,24
277,Piacenza FC,ITA2,24
278,Pordenone Calcio,ITA3,30
279,Reggina Calcio,ITA2,30
280,Foligno Calcio,ITA3,30
281,Robur Siena,ITA3,30
282,US Lecce,ITA2,30
283,SS Barletta Calcio,ITA3,30
284,Varese 1910,ITA2,30
285,FC Pro Vercelli 1892,ITA2,30
286,Carpi FC 1909,ITA2,30
287,Empoli Primavera,ITAJ,30
288,Virtus Francavilla Calcio,ITA3,30
289,Casertana FC,ITA3,30
290,AS Bari,ITA2,30
291,AC Monza Brianza,ITA3,30
292,Bologna Primavera,ITAJ,30
293,SS Sambenedettese,ITA3,30
294,AC Siena,ITA1,30
295,FC Südtirol,ITA3,30
296,Venezia,ITA3,30
297,Alma Juventus Fano 1906,ITA3,30
298,SS Matera Calcio,ITA3,30
299,Pro Piacenza 1919,ITA3,30
300,Olbia Calcio 1905,ITA3,36
301,Parma Primavera,ITAJ,36
302,US Triestina,ITA3,36
303,Virtus Entella,ITA2,36
304,Piacenza Calcio 1919,ITA3,36
305,FC Pavia 1911,ITA3,36
306,FC Inter Primavera,ITAJ,36
307,Napoli Primavera,ITAJ,36
308,US Grosseto FC,ITA2,36
309,Salernitana,ITA2,36
310,Novara Calcio 1908,ITA2,36
311,Calcio Padova,ITA2,36
312,Taranto FC 1927,ITA3,36
313,UC AlbinoLeffe,ITA3,36
314,Cavese 1919,ITA3,36
315,Ascoli Calcio 1898,ITA2,36
316,Sassuolo Primavera,ITAJ,36
317,Spezia Primavera,ITAJ,36
318,SS Teramo Calcio,ITA3,36
319,SS Monopoli 1966,ITA3,36
320,Hellas Verona,ITA1,42
321,Calcio Catania,ITA1,42
322,AC Perugia Calcio,ITA2,42
323,Calcio Como,ITA3,42
324,AC Cesena,ITA2,42
325,AC Prato,ITA3,42
326,Torino Primavera,ITAJ,42
327,Benevento Calcio,ITA3,42
328,Ascoli,ITA2,42
329,Aurora Pro Patria,ITA3,42
330,US Alessandria Calcio 1912,ITA3,42
331,AS Lucchese Libertas,ITA3,42
332,FC Südtirol-Alto Adige,ITA3,42
333,Atalanta Primavera,ITAJ,48
334,AC Renate,ITA3,48
335,Spezia Calcio,ITA2,48
336,AS Livorno,ITA2,48
337,Ternana Calcio,ITA3,48
338,AC Lumezzane,ITA3,48
339,AC Pisa 1909,ITA3,48
340,Udinese Primavera,ITAJ,54
341,Hellas Verona Primavera,ITAJ,54
342,US Cremonese,ITA3,54
343,US Città di Pontedera,ITA3,54
344,US Catanzaro,ITA3,54
345,Vicenza Calcio,ITA2,54
346,SS Juve Stabia,ITA3,54
347,Palermo,ITA1,54
348,Delfino Pescara 1936,ITA2,54
349,Modena FC,ITA2,54
350,Empoli FC,ITA2,54
351,AS Gubbio 1910,ITA3,54
352,US Sassuolo,ITA1,54
353,Fiorentina Primavera,ITAJ,60
354,Parma,ITA1,60
355,Frosinone Calcio,ITA2,60
356,US Pistoiese 1921,ITA3,60
357,FC Crotone,ITA2,60
358,AC Reggiana 1919,ITA3,60
359,Feralpisalò,ITA3,60
360,Genoa Primavera,ITAJ,66
361,Paganese Calcio 1926,ITA3,66
362,Milan Primavera,ITAJ,66
363,Carrarese Calcio 1908,ITA3,66
364,Chievo Verona,ITA1,66
365,Sampdoria Primavera,ITAJ,72
366,Torino FC,ITA1,72
367,AS Cittadella,ITA2,78
368,Juventus Primavera,ITAJ,78
369,Brescia Calcio,ITA2,78
370,Bologna FC 1909,ITA1,78
371,Roma Primavera,ITAJ,78
372,Cagliari Calcio,ITA1,84
373,UC Sampdoria,ITA1,84
374,Atalanta BC,ITA1,84
375,AS Roma,ITA1,90
376,SS Lazio,ITA1,90
377,Juventus FC,ITA1,90
378,SSC Napoli,ITA1,90
379,Udinese Calcio,ITA1,90
380,ACF Fiorentina,ITA1,90
381,Genoa CFC,ITA1,90
382,AC Milan,ITA1,90
383,FC Inter,ITA1,90
