,team1,league_team1,season
700,OP Savoia,ITA4,12
701,Real Agro Aversa,ITA4,12
702,Nuova Gioiese,ITA4,12
703,ASD Liapiave,ITA4,12
704,Pro Patria Gallaratese GB,ITA3,12
705,Pro Livorno Sorgenti,ITA4,12
706,Caratese Youth,ITAJ,12
707,Palermo FC,ITA3,12
708,Atletico Terme Fiuggi Giovanili,ITA4,12
709,Calvi Noale Juniores,ITAJ,12
710,Bassano Youth,ITAJ,12
711,Pineto Giovanili,ITA4,12
712,Atletico Terme Fiuggi,ITA4,12
713,Picerno Youth,ITAJ,12
714,Atletico Uri,ITA4,12
715,Polisportiva Gaeta 1931,ITA4,12
716,Campodarsego Youth,ITAJ,12
717,Polisportiva Monti Cimini 2016,ITA4,12
718,Polisportiva Sarnico,ITA4,12
719,Real Marcianise Calcio,ITA3,12
720,Polisportiva Vastogirardi,ITA4,12
721,Pergolettese Primavera,ITAJ,12
722,Portici Giovanili,ITA4,12
723,ASD Due Torri,ITA4,12
724,ASD Fanfulla,ITA4,12
725,Porto Torres,ITA4,12
726,Portomansué,ITA4,12
727,ASD Foligno Calcio,ITA4,12
728,ASD Borgorosso Arenzano,ITA4,12
729,ASD Biagio Nazzaro,ITA4,12
730,Palermo Primavera,ITAJ,12
731,ASD Battipagliese,ITA4,12
732,Pontedera Primavera,ITAJ,12
733,Real Metapontino,ITA4,12
734,Real Rimini FC,ITA4,12
735,Monastir Kosmoto,ITA4,12
736,Molfetta Sportiva,ITA4,12
737,Molfetta Calcio,ITA4,12
738,Rossanese ASD,ITA4,12
739,S.S.D. A.R.L. PCS Sanmichelese,ITA4,12
740,ASD Oasi Sanfeliciana,ITA4,12
741,ASD Olbia 1905,ITA4,12
742,SCD Progresso Calcio,ITA4,12
743,SEF Torres Giovanili,ITA4,12
744,SPAL,ITA2,12
745,SPAL 2013,ITA3,12
746,ASD Paternò 1908,ITA4,12
747,Calcio Brusaporto,ITA4,12
748,ASD Pergine Calcio,ITA4,12
749,Martina Calcio 1947 Youth,ITAJ,12
750,Marsala Calcio,ITA4,12
751,Sport Club Marsala 1912,ITA4,12
752,ASD Pianura 1977,ITA4,12
753,Castellaneta Calcio 1962,ITA4,12
754,AS Gualdo Casacastalda,ITA4,12
755,Roma Under 18,ITAJ,12
756,ASD Nibbiano & Valtidone,ITA4,12
757,Rimini Primavera,ITAJ,12
758,Atletico Piombino,ITA4,12
759,Real Vicenza Youth,ITAJ,12
760,ASD Liventina,ITA4,12
761,Reggiana Primavera,ITAJ,12
762,Noicattaro Calcio,ITA4,12
763,AS Urbetevere,ITA4,12
764,Reggina 1914,ITA2,12
765,Reggina Under 17,ITAJ,12
766,Reggina Youth,ITAJ,12
767,Napoli United,ITA4,12
768,Real Monterotondo,ITA4,12
769,AS Sasso Marconi,ITA4,12
770,Cartigliano Youth,ITAJ,12
771,Monza Under 18,ITAJ,12
772,Monza Under 17,ITAJ,12
773,Rende Youth,ITAJ,12
774,Casalgrandese,ITA4,12
775,Rignanese Calcio,ITA4,12
776,Montespaccato Savoia,ITA4,12
777,ASD Modica Calcio,ITA4,12
778,Monterosi Juniores,ITAJ,12
779,AS Pescina Valle del Giovenco,ITA4,12
780,Audace Cerignola Giovanili,ITA4,12
781,Giacomense Youth,ITAJ,12
782,Pisa Youth,ITAJ,12
783,AC Saluzzo,ITA4,12
784,Varesina Calcio,ITA4,12
785,US Olginatese Giovanili,ITA4,12
786,Armando Picchi Calcio,ITA4,12
787,FC Viribus Somma 100,ITA4,12
788,FC Villarreal Youth,ITAJ,12
789,Alcione Milano,ITA4,12
790,US Palestrina 1919,ITA4,12
791,AC Merate,ITA4,12
792,Dro Alto Garda Calcio,ITA4,12
793,Vedelago Giovanili,ITA4,12
794,AC Cervinara,ITA4,12
795,US Provese,ITA4,12
796,Arezzo Primavera,ITAJ,12
797,Bisceglie Youth,ITAJ,12
798,FC Sporting Genzano,ITA4,12
799,Valle del Tevere,ITA4,12
800,FC Spinea 1966,ITA4,12
801,US Sambenedettese,ITA3,12
802,US Sambenedettese 1923,ITA4,12
803,Bitonto Calcio,ITA4,12
804,Valenzana Mado SSD,ITA4,12
805,Albignasego Calcio,ITA4,12
806,US Folgore Verano,ITA4,12
807,Fermana Primavera,ITAJ,12
808,US Follonica Gavorrano,ITA4,12
809,Abano Calcio Juniores,ITAJ,12
810,Feralpisalò Primavera,ITAJ,12
811,Union Ripa La Fenadora,ITA4,12
812,Cuoiopelli Cappiano Romaiano,ITA4,12
813,Accademia Pavese,ITA4,12
814,Venezia Giovanili,ITA4,12
815,US Lecce Youth,ITAJ,12
816,Boca San Lazzaro,ITA4,12
817,US Grosseto 1912,ITA3,12
818,Fano Giovanili,ITA4,12
819,Fano Calcio SSD,ITA4,12
820,Dattilo Noir,ITA4,12
821,Alba Adriatica,ITA4,12
822,Arrone Calcio,ITA4,12
823,Acqui US 1911,ITA4,12
824,US Fiorenzuola Giovanili,ITA4,12
825,Alfonsine FC 1921,ITA4,12
826,Valencia CF Youth,ITAJ,12
827,Città di Anagni Calcio,ITA4,12
828,USD FiesoleCaldine,ITA4,12
829,FC Grosseto,ITA4,12
830,AC Fucecchio,ITA4,12
831,Città di Foligno 1928,ITA4,12
832,AC Formigine,ITA4,12
833,FC Fossombrone 1949,ITA4,12
834,Aquila Montevarchi 1902,ITA4,12
835,FC Fondi 1922,ITA4,12
836,FC Arzignano Valchiampo,ITA4,12
837,Aprilia Juniores,ITAJ,12
838,USD San Marco Avenza,ITA4,12
839,Union San Giorgio Sedico,ITA4,12
840,AC Ercolano 1924,ITA4,12
841,AC Delta Rovigo,ITA4,12
842,USD Virtusvecomp Verona,ITA4,12
843,FC Fidene,ITA4,12
844,FC Sambiase Calcio,ITA4,12
845,USD Castelnuovo Garfagnana,ITA4,12
846,FBC Finale 1908,ITA4,12
847,Città di Messina,ITA4,12
848,US Sessana,ITA4,12
849,US Sestese Calcio,ITA4,12
850,US Tor di Quinto,ITA4,12
851,FC Ponsacco Giovanili,ITA4,12
852,Espanyol Barcelona Youth,ITAJ,12
853,AC Lugagnano,ITA4,12
854,USD Castellanzese 1921,ITA4,12
855,Urbino Calcio,ITA4,12
856,US Viterbese Youth,ITAJ,12
857,F.S. Sestrese Calcio 1919,ITA4,12
858,USD Albinia,ITA4,12
859,USD Alto Tavoliere San Severo,ITA4,12
860,Cittanova Calcio,ITA4,12
861,USD Bitonto Calcio,ITA4,12
862,USD Breno,ITA4,12
863,AC Gozzano,ITA3,12
864,US Viterbese 1908,ITA3,12
865,Anziolavinio,ITA4,12
866,US Dro,ITA4,12
867,AC Pro Sesto,ITA3,12
868,Arzignano Giovanili,ITA4,12
869,Todi Calcio,ITA4,12
870,Borgo San Donnino,ITA4,12
871,AC Bastia 1924,ITA4,12
872,Frosinone Youth,ITAJ,12
873,Terracina Calcio,ITA4,12
874,AC Monza,ITA2,12
875,Trastevere Youth,ITAJ,12
876,Treviso FBC 1993,ITA2,12
877,ASD Zenith Audax,ITA4,12
878,Treviso Giovanili,ITA4,12
879,Virtus Entella Giovanili,ITA4,12
880,Cosenza Calcio 1914,ITA3,12
881,TrapaniBerretti,ITAJ,12
882,AC Ancona,ITA2,12
883,Vis Pesaro Primavera,ITAJ,12
884,Como Primavera,ITAJ,12
885,Sporting Verucchio,ITA4,12
886,Genoa Under 18,ITAJ,12
887,Cjarlins Muzane Giovanili,ITA4,12
888,AC Rezzato Giovanili,ITA4,12
889,Südtirol Primavera,ITAJ,12
890,Taranto Youth,ITAJ,12
891,Gemonese 1919,ITA4,12
892,Borgovercelli Calcio,ITA4,12
893,Teramo Primavera,ITAJ,12
894,ASD Vedelago,ITA4,12
895,Como 1907,ITA4,12
896,A.C. Calvina Sport,ITA4,12
897,Gallipoli Primavera,ITAJ,12
898,Terlizzi,ITA4,12
899,Gallipoli Calcio,ITA3,12
900,A.S.D. Castel San Giorgio Calcio,ITA4,12
901,Forza e Coraggio Benevento,ITA4,12
902,Trapani Youth,ITAJ,12
903,Chions Youth,ITAJ,12
904,Foggia Under 17,ITAJ,12
905,US Avellino,ITA2,12
906,Foligno Youth,ITAJ,12
907,Foggia Primavera,ITAJ,12
908,US Bedizzolese,ITA4,12
909,Vigor Lamezia Youth,ITAJ,12
910,ASDP Ribera 1954,ITA4,12
911,US Arcella,ITA4,12
912,US Bitonto Calcio,ITA4,12
913,Vigontina San Paolo,ITA4,12
914,AC Campodarsego,ITA4,12
915,Boreale Calcio,ITA4,12
916,Virtus Bolzano,ITA4,12
917,Vigevano Calcio,ITA4,12
918,US Anconitana,ITA4,12
919,US Carrarese Primavera,ITAJ,12
920,US Città di Jesolo,ITA4,12
921,US Corticella,ITA4,12
922,UC Sinalunghese,ITA4,12
923,Vis Misano FC,ITA4,18
924,ASD Castelnuovo Vomano,ITA4,18
925,ASD Astrea,ITA4,18
926,ASD Città di Marino,ITA4,18
927,Calcio Union Quinto,ITA4,18
928,Unione Sportiva Sansovino,ITA4,18
929,Barletta 1922 Youth,ITAJ,18
930,Real Vicenza VS,ITA4,18
931,ASD Bakia Cesenatico,ITA4,18
932,Real Giulianova SSD,ITA4,18
933,Atletico Vieste,ITA4,18
934,AC Arezzo,ITA3,18
935,Portogruaro Calcio ASD,ITA4,18
936,AC Bellinzona Youth,ITAJ,18
937,ASD Calcio Cerea 1912,ITA4,18
938,Virtus Ciserano Bergamo 1909,ITA4,18
939,Porto Sant'Elpidio MP,ITA4,18
940,Virtus Francavilla Youth,ITAJ,18
941,Virtus Bergamo 1909,ITA4,18
942,Potenza Sport Club,ITA3,18
943,V. Lanciano Youth,ITAJ,18
944,Villa Valle,ITA4,18
945,Uso Calcio,ITA4,18
946,Virtusvecomp Verona SSD,ITA4,18
947,Virtus Pavullese,ITA4,18
948,Ravenna Calcio,ITA3,18
949,Portici 1906,ITA4,18
950,Pordenone Primavera,ITAJ,18
951,Ravenna FC Academy,ITA4,18
952,Ponte San Pietro Youth,ITAJ,18
953,Progetto Sant'Elia,ITA4,18
954,ASD Boca Pietri Carpi,ITA4,18
955,ASD Cartigliano,ITA4,18
956,Unione Sportiva Siracusa,ITA4,18
957,Real Agro Aversa Giovanili,ITA4,18
958,ASD Casoli Calcio,ITA4,18
959,ASC St. Georgen,ITA4,18
960,Rapallo Ruentes Rivarolese,ITA4,18
961,Vicenza Berretti,ITAJ,18
962,US Savoia 1908,ITA4,18
963,USD Novese,ITA4,18
964,Torino Under 18,ITAJ,18
965,ACD Guidonia,ITA4,18
966,Brindisi FC,ITA4,18
967,AC Ponte San Pietro,ITA4,18
968,San Paolo Padova,ITA4,18
969,Tritium Berretti,ITAJ,18
970,Turris Calcio,ITA4,18
971,Santegidiese Calcio,ITA4,18
972,ACD San Martino Speme,ITA4,18
973,ACD Sangiustese,ITA4,18
974,Avellino Under 17,ITAJ,18
975,UC Montecchio Maggiore,ITA4,18
976,US Ancona,ITA4,18
977,US Avellino 1912,ITA3,18
978,Tuttocuoio Juniores,ITAJ,18
979,Sapri Calcio 1928,ITA4,18
980,Sasso Marconi 1924,ITA4,18
981,AC Rodengo Saiano,ITA4,18
982,AC Sangiustese,ITA4,18
983,Teramo Youth,ITAJ,18
984,Sorrento 1945,ITA4,18
985,Termoli Calcio 1920,ITA4,18
986,Solbiatese Arno Calcio,ITA4,18
987,Ternana Primavera,ITAJ,18
988,Siracusa Calcio,ITA3,18
989,Ternana Under 17,ITAJ,18
990,Sicula Leonzio Giovanili,ITA4,18
991,Sicula Leonzio,ITA3,18
992,Thermal Abano Teolo,ITA4,18
993,Selargius Calcio,ITA4,18
994,AC Vigasio,ITA4,18
995,Tor di Quinto Giovanili,ITA4,18
996,US Borgo a Buggiano 1920,ITA4,18
997,USD San Severo Calcio,ITA4,18
998,APC Chions,ITA4,18
999,US Forcoli 1921,ITA4,18
1000,Calcio Castel San Pietro Terme,ITA4,18
1001,US Torcy Youth,ITAJ,18
1002,SC Vallée d’Aoste,ITA4,18
1003,SC Palazzolo,ITA4,18
1004,S.V. Turate Verbano,ITA4,18
1005,AC Locri 1909,ITA4,18
1006,AS Gubbio Youth,ITAJ,18
1007,Romulea Calcio,ITA4,18
1008,Rimini Giovanili,ITA4,18
1009,USD Ciserano,ITA4,18
1010,AS Roccella 1935,ITA4,18
1011,Rende Calcio 1968,ITA3,18
1012,Renato Curi Juniores,ITAJ,18
1013,AS Rosarno,ITA4,18
1014,Benevento Youth,ITAJ,18
1015,AS Martina Franca,ITA4,18
1016,SPAL Youth,ITAJ,18
1017,SS Akragas Città dei Templi,ITA3,18
1018,Sporting Bellinzago,ITA4,18
1019,SSD Imperia 1923,ITA4,18
1020,SSD Fidelis Andria,ITA4,18
1021,SSD Città di Castello,ITA4,18
1022,AC Monopoli,ITA4,18
1023,AS Biellese,ITA4,18
1024,US Ivrea Calcio,ITA4,18
1025,Aurora Seriate,ITA4,18
1026,AC Mestre Juniores,ITAJ,18
1027,SS Rende,ITA4,18
1028,SS Real Montecchio,ITA4,18
1029,US Palermo Youth,ITAJ,18
1030,SS Nola 1925,ITA4,18
1031,US Pro Vercelli,ITA4,18
1032,AC Mantova 1911,ITA2,18
1033,US Russi,ITA4,18
1034,SS Arezzo,ITA3,18
1035,SSD Piacenza Calcio 1919,ITA4,18
1036,Sassuolo Under 18,ITAJ,18
1037,Calcio Del Duca Ribelle,ITA4,18
1038,Grottammare Calcio 1899,ITA4,18
1039,Licata Calcio 1931,ITA4,18
1040,Liventina Youth,ITAJ,18
1041,ASD Pro Eureka,ITA4,18
1042,Lupa Roma FC,ITA4,18
1043,Anzio Calcio 1924,ITA4,18
1044,Mantova 1911,ITA4,18
1045,Mantova Juniores,ITAJ,18
1046,Marina Calcio,ITA4,18
1047,Massese Youth,ITAJ,18
1048,Città di Giulianova,ITA4,18
1049,Milan Under 18,ITAJ,18
1050,Lazio Youth,ITAJ,18
1051,Milano City FC,ITA4,18
1052,Modena FC 2018,ITA3,18
1053,ASD NibionnOggiono,ITA4,18
1054,Ebolitana Calcio 1925,ITA4,18
1055,Monterosi FC,ITA4,18
1056,Montevarchi Calcio Aquila 1902,ITA4,18
1057,Monza Primavera,ITAJ,18
1058,Nissa FC,ITA4,18
1059,Crotone Youth,ITAJ,18
1060,Nuova Cosenza Calcio,ITA4,18
1061,Carpi FC Youth,ITAJ,18
1062,Olbia Calcio,ITA4,18
1063,ASD HSL Derthona,ITA4,18
1064,Modena Berretti,ITAJ,18
1065,Lavagnese Youth,ITAJ,18
1066,ASD San Cesareo Calcio,ITA4,18
1067,L.G. Trino,ITA4,18
1068,Foggia Calcio,ITA3,18
1069,Fondi Giovanili,ITA4,18
1070,Franciacorta FC,ITA4,18
1071,Fiorentina Under 18,ITAJ,18
1072,Fidelis Andria,ITA3,18
1073,Afragolese 1944,ITA4,18
1074,ASD Villanterio Calcio,ITA4,18
1075,GS Mazara 1946,ITA4,18
1076,Gallarate,ITA4,18
1077,Cisco Roma,ITA4,18
1078,ASD Union ArzignanoChiampo,ITA4,18
1079,Chieti Calcio,ITA4,18
1080,Gozzano Youth,ITAJ,18
1081,FC Sant'Agnello,ITA4,18
1082,Cesena FC,ITA3,18
1083,ASD Sona Calcio,ITA4,18
1084,Ischia Youth,ITAJ,18
1085,Ital-Lenti Belluno,ITA4,18
1086,Vivi Altotevere Sansepolcro,ITA4,18
1087,Alghero 1945,ITA4,18
1088,FC Messina,ITA4,18
1089,FC Matera,ITA4,18
1090,Alzano Cene 1909,ITA4,18
1091,ASD Grassina,ITA4,18
1092,Carbonia Calcio,ITA4,18
1093,Ascoli Youth,ITAJ,18
1094,Foggia Juniores,ITAJ,18
1095,ASD Francavilla Calcio,ITA4,18
1096,Piacenza Juniores,ITAJ,18
1097,Perugia Youth,ITAJ,18
1098,Perugia Calcio,ITA3,18
1099,Pinerolo FC,ITA4,18
1100,Atletico Roma Youth,ITAJ,18
1101,Comprensorio Montalto,ITA4,18
1102,Como Under 17,ITAJ,18
1103,Pisa Primavera,ITAJ,18
1104,Celano FC Olimpia,ITA4,24
1105,Bari Under 17,ITAJ,24
1106,ASD Cannara,ITA4,24
1107,Vis Artena,ITA4,24
1108,Samassi Calcio 1968,ITA4,24
1109,Sambenedettese Berretti,ITAJ,24
1110,AltoVicentino,ITA4,24
1111,Juventus U23,ITA3,24
1112,ACD Campodarsego,ITA4,24
1113,US Triestina Youth,ITAJ,24
1114,FC Neapolis Mugnano,ITA4,24
1115,Sampdoria Under 18,ITAJ,24
1116,Sacilese Giovanili,ITA4,24
1117,US Vibonese Youth,ITAJ,24
1118,Jolly & Montemurlo,ITA4,24
1119,Celano FC Marsica,ITA4,24
1120,Itala San Marco Gradisca,ITA4,24
1121,ACD Nardò,ITA4,24
1122,Ladispoli Calcio,ITA4,24
1123,SSD San Nicolò Notaresco,ITA4,24
1124,FC Castiglione,ITA4,24
1125,SS Maceratese,ITA4,24
1126,USD Scanzorosciate,ITA4,24
1127,Portogruaro Berretti,ITAJ,24
1128,Arzanese Calcio,ITA4,24
1129,Manfredonia Youth,ITAJ,24
1130,AS Casale Calcio,ITA4,24
1131,Virtusvecomp Verona,ITA3,24
1132,Luparense FC,ITA4,24
1133,Castiadas Calcio 1973,ITA4,24
1134,ACR Messina,ITA3,24
1135,SSC Bari Youth,ITAJ,24
1136,SSD Alba Alcamo 1928,ITA4,24
1137,ASG Nocerina,ITA4,24
1138,SSD Chieti Calcio,ITA4,24
1139,Licata Calcio,ITA4,24
1140,Catanzaro FC,ITA4,24
1141,AS Andria BAT,ITA3,24
1142,Angizia Luco,ITA4,24
1143,Lecce Under 17,ITAJ,24
1144,USD Grumellese Calcio,ITA4,24
1145,Latina Calcio 1932,ITA4,24
1146,Sarnese 1926,ITA4,24
1147,SSC Napoli Youth,ITAJ,24
1148,Piacenza Berretti,ITAJ,24
1149,FC Pro Vasto,ITA4,24
1150,AC Voghera,ITA4,24
1151,Tolentino Calcio,ITA4,24
1152,Vis Pesaro dal 1898,ITA3,24
1153,GS Arconatese,ITA4,24
1154,Polisportiva Castellarano Calcio,ITA4,24
1155,Fermana FC,ITA3,24
1156,Viterbese Primavera,ITAJ,24
1157,Frattese Calcio,ITA4,24
1158,US Colognese,ITA4,24
1159,Francavilla Calcio 1927,ITA4,24
1160,Treviso Juniores,ITAJ,24
1161,Borgaro Nobis 1965,ITA4,24
1162,Aglianese Calcio 1923,ITA4,24
1163,Triestina Berretti,ITAJ,24
1164,ASDC Borgomanero,ITA4,24
1165,Forlì Youth,ITAJ,24
1166,Turris Youth,ITAJ,24
1167,Fontanafredda,ITA4,24
1168,Abano Calcio,ITA4,24
1169,Caldiero Terme,ITA4,24
1170,AZ Picerno,ITA4,24
1171,Fondi Calcio,ITA4,24
1172,AC Pavia Youth,ITAJ,24
1173,US Arezzo,ITA3,24
1174,Fossano Calcio,ITA4,24
1175,GSD RapalloBogliasco,ITA4,24
1176,ASD Villabiagio,ITA4,24
1177,Calcio Portogruaro-Summaga,ITA3,24
1178,Scafatese Calcio 1922,ITA4,24
1179,AC Mantova,ITA4,24
1180,HSL Derthona,ITA4,24
1181,Siena Berretti,ITAJ,24
1182,Pisa Under 17,ITAJ,24
1183,Gladiator 1924,ITA4,24
1184,FC Vado,ITA4,24
1185,Giulianova Calcio,ITA4,24
1186,Piacenza FC,ITA2,24
1187,Polisportiva Margine Coperta,ITA4,24
1188,US Pergocrema 1932,ITA3,24
1189,US Palmese,ITA4,24
1190,Spezia Youth,ITAJ,24
1191,Giorgione Calcio,ITA4,24
1192,Aldini Calcio,ITA4,24
1193,Chieti FC 1922,ITA4,24
1194,Bari,ITA2,24
1195,US Levico Terme,ITA4,24
1196,US Latina Calcio,ITA2,24
1197,Gela Calcio Youth,ITAJ,24
1198,Albalonga Calcio,ITA4,24
1199,Akragas Giovanili,ITA4,24
1200,Cosenza Primavera,ITAJ,24
1201,Unione Sanremo,ITA4,24
1202,Muravera Calcio,ITA4,24
1203,Venezia FC Juniores,ITAJ,24
1204,Calcio Flaminia,ITA4,24
1205,Colleferro Calcio,ITA4,24
1206,Rosignano Sei Rose,ITA4,24
1207,Crociati Noceto,ITA4,24
1208,Vigor Carpaneto,ITA4,24
1209,ASD Fortis Juventus 1909,ITA4,24
1210,Vico Equense Calcio 1958,ITA4,24
1211,SPAL 1907,ITA3,24
1212,AS Viterbese Castrense,ITA3,24
1213,Vicenza Under 17,ITAJ,24
1214,Valenzana Calcio,ITA4,24
1215,SDMC Fermana FC,ITA4,24
1216,Unipomezia Virtus,ITA4,24
1217,Rovigo Calcio,ITA4,24
1218,Novara Berretti,ITAJ,24
1219,Nocerina Juniores,ITAJ,24
1220,Urbs Reggina 1914,ITA3,24
1221,AC Carpenedolo,ITA4,24
1222,Val Di Sangro,ITA4,24
1223,Reggina Berretti,ITAJ,24
1224,Modena Under 17,ITAJ,24
1225,Eretum Monterotondo,ITA4,24
1226,Matera Youth,ITAJ,24
1227,Palermo Under 17,ITAJ,24
1228,Cosenza Calcio,ITA2,24
1229,ASD Audace 1919,ITA4,24
1230,Canavese Youth,ITAJ,24
1231,Cremonese Under 17,ITAJ,24
1232,Roccella,ITA4,24
1233,Own Youth,ITAJ,24
1234,Melfi Youth,ITAJ,24
1235,Olbia Youth,ITAJ,24
1236,Monteruscello Calcio,ITA4,24
1237,Calcio Biancavilla 1990,ITA4,24
1238,Cosenza Under 17,ITAJ,24
1239,Ravenna FC,ITA3,24
1240,Marcianise,ITA4,24
1241,Pescara Youth,ITAJ,30
1242,AC Siena,ITA1,30
1243,Sora Calcio 1907,ITA4,30
1244,Imolese Youth,ITAJ,30
1245,AS Pizzighettone,ITA4,30
1246,Sassari Latte Dolce,ITA4,30
1247,Venezia Under 17,ITAJ,30
1248,Venezia,ITA3,30
1249,Igea 1946,ITA4,30
1250,Seravezza Pozzi Calcio,ITA4,30
1251,Ars et Labor Grottaglie,ITA4,30
1252,ASD Tau Calcio Altopascio,ITA4,30
1253,Rieti Youth,ITAJ,30
1254,Venezia Primavera,ITAJ,30
1255,Gsd Nuova Tor Tre Teste Youth,ITAJ,30
1256,FC Südtirol,ITA3,30
1257,SS Barletta Calcio,ITA3,30
1258,Savio Calcio,ITA4,30
1259,US Siracusa Berretti,ITAJ,30
1260,Sestese Calcio,ITA4,30
1261,Grosseto Youth,ITAJ,30
1262,Mantova Primavera,ITAJ,30
1263,Cuneo Youth,ITAJ,30
1264,Calcio Sandonà,ITA4,30
1265,Pro Piacenza Berretti,ITAJ,30
1266,Calcio Flaminia Civita Castellana,ITA4,30
1267,Ravenna Berretti,ITAJ,30
1268,Carpi FC 1909,ITA2,30
1269,AC Pisa Berretti,ITAJ,30
1270,Triestina Primavera,ITAJ,30
1271,ASD HinterReggio Calcio,ITA4,30
1272,Tritium Calcio 1908,ITA4,30
1273,US Città di Fasano,ITA4,30
1274,AC Monza Brianza,ITA3,30
1275,Pro Vercelli Youth,ITAJ,30
1276,AC Nardò,ITA4,30
1277,Cremonese Primavera,ITAJ,30
1278,Foligno Calcio,ITA3,30
1279,ASDC Gozzano,ITA4,30
1280,Viareggio 2014,ITA4,30
1281,Trapani Under 17,ITAJ,30
1282,Trapani Calcio,ITA2,30
1283,Carpi Under 17,ITAJ,30
1284,Reggina Calcio,ITA2,30
1285,Giana Erminio Giovanili,ITA4,30
1286,Ghivizzano Borgoamozzano,ITA4,30
1287,Reggiana Giovanili,ITA4,30
1288,AC Rezzato,ITA4,30
1289,AlbinoLeffe Youth,ITAJ,30
1290,US Fezzanese,ITA4,30
1291,AS Viterbese Calcio,ITA4,30
1292,Gallipoli Football 1909,ITA4,30
1293,ASD Villafranca Veronese,ITA4,30
1294,GSD Ambrosiana,ITA4,30
1295,Arzachena Costa Smeralda,ITA4,30
1296,Pro Piacenza 1919,ITA3,30
1297,US Foggia,ITA3,30
1298,Frosinone Under 17,ITAJ,30
1299,ASD Chieri Giovanili,ITA4,30
1300,ASD Vastese Calcio 1902,ITA4,30
1301,Sansepolcro Calcio,ITA4,30
1302,AC Giacomense,ITA4,30
1303,Pordenone Calcio,ITA3,30
1304,Valle d'Aosta Calcio,ITA4,30
1305,ASD OltrepòVoghera,ITA4,30
1306,FC Canavese,ITA4,30
1307,AS Livorno Youth,ITAJ,30
1308,AS Bari,ITA2,30
1309,USD Olginatese,ITA4,30
1310,L'Aquila Giovanili,ITA4,30
1311,Pordenone Under 17,ITAJ,30
1312,Pro Sesto Giovanili,ITA4,30
1313,SSD Vis Pesaro 1898,ITA4,30
1314,SC Ligorna 1922,ITA4,30
1315,SS Virtus Lanciano,ITA3,30
1316,Catania Berretti,ITAJ,30
1317,Potenza Calcio,ITA4,30
1318,Cjarlins Muzane,ITA4,30
1319,SS Matera Calcio,ITA3,30
1320,USD Noto Calcio,ITA4,30
1321,Città di Gragnano,ITA4,30
1322,FBC Casale,ITA4,30
1323,FC Esperia Viareggio,ITA3,30
1324,Legnano AC,ITA4,30
1325,Lecce Berretti,ITAJ,30
1326,Sanremese Calcio,ITA4,30
1327,AC Fidenza 1922,ITA4,30
1328,SSD Spoleto Calcio,ITA4,30
1329,AC Crema 1908,ITA4,30
1330,Cosenza Berretti,ITAJ,30
1331,San Marino Academy,ITA4,30
1332,ASD Monticelli,ITA4,30
1333,SS Milazzo,ITA4,30
1334,FC Calvi Noale,ITA4,30
1335,Mantova Berretti,ITAJ,30
1336,Montegiorgio Calcio,ITA4,30
1337,AS Castel Rigone,ITA4,30
1338,Robur Siena,ITA3,30
1339,Castelvetro Calcio,ITA4,30
1340,Varese Calcio,ITA4,30
1341,Como Youth,ITAJ,30
1342,Varese 1910,ITA2,30
1343,ASD Romagna Centro,ITA4,30
1344,USD Real Forte Querceta,ITA4,30
1345,SS Sambenedettese,ITA3,30
1346,Avezzano Calcio,ITA4,30
1347,AS Deruta 1926,ITA4,30
1348,Lupa Roma Youth,ITAJ,30
1349,Livorno Under 17,ITAJ,36
1350,Crotone Under 17,ITAJ,36
1351,US Grosseto FC,ITA2,36
1352,Troina,ITA4,36
1353,Vigor Trani,ITA4,36
1354,Polisportiva Budoni Calcio,ITA4,36
1355,Casertana Youth,ITAJ,36
1356,AS Bisceglie 1913,ITA4,36
1357,Trastevere Calcio,ITA4,36
1358,Gelbison,ITA4,36
1359,Olbia Calcio 1905,ITA3,36
1360,Cassino Calcio 1924,ITA4,36
1361,Lucchese Berretti,ITAJ,36
1362,SPAL U17,ITA4,36
1363,Città di Gela,ITA4,36
1364,SSD Cynthia 1920,ITA4,36
1365,Nuorese Calcio,ITA4,36
1366,Messina Berretti,ITAJ,36
1367,Piacenza Primavera,ITAJ,36
1368,SSD Città di Campobasso,ITA4,36
1369,Castrovillari Calcio,ITA4,36
1370,SSD Città di Brindisi,ITA4,36
1371,FBC Gravina,ITA4,36
1372,ASD Lanusei Calcio,ITA4,36
1373,AC Montichiari,ITA4,36
1374,US Adriese 1906,ITA4,36
1375,Fermana Youth,ITAJ,36
1376,Padova Berretti,ITAJ,36
1377,Bassano Virtus 55 ST,ITA3,36
1378,SS Matelica Calcio ASD,ITA4,36
1379,US Lecce,ITA3,36
1380,Pro Vercelli Under 17,ITAJ,36
1381,Foligno Juniores,ITAJ,36
1382,Ascoli Calcio 1898,ITA2,36
1383,Foggia Berretti,ITAJ,36
1384,Alma Juventus Fano 1906,ITA4,36
1385,Virtus Francavilla Calcio,ITA3,36
1386,Pineto Calcio,ITA4,36
1387,ASD Corigliano Calabro,ITA4,36
1388,Cittadella Under 17,ITAJ,36
1389,AC Tuttocuoio,ITA4,36
1390,FC Südtirol - Alto Adige Youth,ITAJ,36
1391,Union Clodiense Chioggia,ITA4,36
1392,Cavese Berretti,ITAJ,36
1393,San Nicolò Calcio Teramo,ITA4,36
1394,US Triestina,ITA3,36
1395,Sancataldese Calcio,ITA4,36
1396,Pomezia Calcio,ITA4,36
